utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,BE_load_actual_entsoe_transparency,BE_load_forecast_entsoe_transparency,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_generation_actual,DE_wind_generation_actual,DE_wind_offshore_generation_actual,DE_wind_onshore_generation_actual,HU_load_actual_entsoe_transparency,HU_load_forecast_entsoe_transparency,HU_wind_onshore_generation_actual,LU_load_actual_entsoe_transparency,LU_load_forecast_entsoe_transparency
2015-02-14T23:00:00Z,2015-02-15T00:00:00+0100,6615.2,6623.29,44.31,0,859.86,10119.08,9941.57,46061.63,48368.65,0,6603.67,729.42,5874.25,4236.23,4154.83,108.18,466,500
2015-02-15T11:00:00Z,2015-02-15T12:00:00+0100,7240.8,7453.24,32.02,254.96,845,10207.91,10661.11,52934.15,54300.75,10340.97,6719.7,736.27,5983.43,4901.84,4974.22,27.95,444,453
2015-02-15T23:00:00Z,2015-02-16T00:00:00+0100,6578.4,6652.02,40.09,0,380.12,10052.94,9986.59,46572.86,48275.08,0,10231.99,708.03,9523.96,4146.85,4144.11,15.94,473,502
2015-02-16T11:00:00Z,2015-02-16T12:00:00+0100,8738.4,8536.49,39.71,286.85,79.64,12382.98,12339.54,67197.97,69878.78,9923.65,8630.27,567.75,8062.52,5540.52,5445.53,7.85,613,587
2015-02-16T23:00:00Z,2015-02-17T00:00:00+0100,6919.2,6988.76,41.53,0,916.42,11040.72,10764.99,52354.3,50764.73,0,5701.25,207.69,5493.56,4630.02,4550.27,135.2,509,536
2015-02-17T11:00:00Z,2015-02-17T12:00:00+0100,8645.6,8947.35,54.6,279.33,766.89,12707.05,12248.53,69935.92,68889.57,7106.7,1463.75,101.03,1362.72,5711.88,5408.98,45.51,621,586
2015-02-17T23:00:00Z,2015-02-18T00:00:00+0100,6906.8,7302.72,45.9,0,256.92,11191.74,10847.34,51555.57,50795.32,0,2976.6,451.01,2525.59,4701.19,4551.9,19.15,495,531
2015-02-18T11:00:00Z,2015-02-18T12:00:00+0100,9303.6,9142.62,51.83,227.09,16.59,12678.56,12487.63,69984.67,68215.23,6663.31,4034.66,675.19,3359.47,5636.54,5408.98,56.66,605,590
2015-02-18T23:00:00Z,2015-02-19T00:00:00+0100,7274,7241.16,38.9,0,47.87,11525.32,11206.64,52861.46,51760,0,9297.36,693.75,8603.61,4710.69,4579.17,14.28,511,525
2015-02-19T11:00:00Z,2015-02-19T12:00:00+0100,8822.4,9018.19,34.9,279.68,19.16,12417.71,12451.75,69122.65,68979.81,9855,9716.83,738.41,8978.42,5662.79,5517.89,56.66,632,589
2015-02-19T23:00:00Z,2015-02-20T00:00:00+0100,7233.2,7131.02,37.67,0,114.91,11027.08,11132.91,53898.95,52256.12,0,12548.92,802.78,11746.14,4676.78,4562.56,10.7,509,523
2015-02-20T11:00:00Z,2015-02-20T12:00:00+0100,8418.8,8671.06,37.26,308.41,42.98,12757.19,12160.37,68949.19,69813.27,13675.79,18400.23,701.63,17698.6,5513.15,5523.49,0.16,594,576
2015-02-20T23:00:00Z,2015-02-21T00:00:00+0100,6958,6919.94,43.57,0,1333.89,10961.05,10637.27,50047.44,52381.64,0,12338.85,18.44,12320.41,4595.44,4588.3,192.25,473,507
2015-02-21T11:00:00Z,2015-02-21T12:00:00+0100,6986.8,7691.79,33.5,319.13,1260.86,11125.16,11029.77,59441.88,58500.61,8383.79,16146.55,189.61,15956.94,5155,5081.38,287.08,508,508
2015-02-21T23:00:00Z,2015-02-22T00:00:00+0100,5822.4,6537.54,41.86,0,1453.33,10578.01,10118.1,45813.12,45326.79,0,5245.24,286.56,4958.68,4114.5,4165.83,249.8,480,527
2015-02-22T11:00:00Z,2015-02-22T12:00:00+0100,7524.8,7541.95,41.18,166.54,67.4,10688.54,10606.44,53009.9,53668.67,8892.27,4116.59,488.2,3628.39,4986.58,4942.22,17.21,451,461
2015-02-22T23:00:00Z,2015-02-23T00:00:00+0100,6653.2,6589.09,32.91,0,457.67,10002.62,10195.77,47549.5,47815.13,0,17675.34,680.83,16994.51,4098,4051.11,71.19,429,482
2015-02-23T11:00:00Z,2015-02-23T12:00:00+0100,9004,8432.62,32.05,183.61,192.74,12033.59,12327.01,71472.11,67934.61,5010.39,14997.91,667.55,14330.36,5731.83,5552.53,1.17,621,574
2015-02-23T23:00:00Z,2015-02-24T00:00:00+0100,6821.6,6841.89,38.19,0,81.84,10897.55,10809.2,51747.46,50389.5,0,11795.14,739.77,11055.37,4505.44,4482.27,5.01,480,513
2015-02-24T11:00:00Z,2015-02-24T12:00:00+0100,9478.4,8822.22,34,159.18,95.49,12484.76,12408.77,70396.83,70138.63,8548.36,15934.15,754.53,15179.62,5637.59,5620.98,24.16,612,591
2015-02-24T23:00:00Z,2015-02-25T00:00:00+0100,6896,7098.22,35.1,0,1642.23,10960.16,10863.9,51805.48,51450.86,0,9822.77,774.86,9047.91,4505.51,4367.27,226.82,489,552
2015-02-25T11:00:00Z,2015-02-25T12:00:00+0100,9505.2,8976.54,46.98,181.75,1586.56,12521.27,12314,68430.7,69559.86,11636.88,4412.77,350.99,4061.78,5667.93,5490.98,294.89,613,606
2015-02-25T23:00:00Z,2015-02-26T00:00:00+0100,6801.6,7079.8,47,0,1435.46,11101.99,11125.57,51331.87,51187.41,0,1737.29,12.25,1725.04,4564.64,4367.27,259.36,490,540
2015-02-26T11:00:00Z,2015-02-26T12:00:00+0100,9484.4,8934.06,43.55,266.76,1045.98,12289.89,12212.87,68309.61,69595.57,17556.79,6098.99,509.65,5589.34,5740.47,5520.98,147.74,611,584
2015-02-26T23:00:00Z,2015-02-27T00:00:00+0100,7252.8,7015.84,34.83,0,92.54,10951.86,10764.74,53786.64,50122.47,0,10827.05,321.09,10505.96,4585.18,4366.56,7.33,485,524
2015-02-27T11:00:00Z,2015-02-27T12:00:00+0100,8836.4,8665.1,48,348.17,600.9,12043.52,12244.16,68545.86,68163.84,10666.72,4156.49,233.3,3923.19,5602.4,5571.49,25.77,592,586
2015-02-27T23:00:00Z,2015-02-28T00:00:00+0100,6876,6822.61,47.56,0,53.66,10940.89,10627.99,52891.46,50386.19,0,4467.34,147.54,4319.8,4474.73,4365.3,2,532.56,524
2015-02-28T11:00:00Z,2015-02-28T12:00:00+0100,8371.2,7779.1,34.42,231.29,598.43,11014.63,11082.87,58959.03,60683.97,0,7842.89,787.66,7055.23,5157.84,5014.38,92.95,435.79,464
2015-02-28T23:00:00Z,2015-03-01T00:00:00+0100,6356.8,6448.99,36.1,0,25.08,10041.63,10266.51,50293.14,46337.01,0,18691.01,818.31,17872.7,4081,3965.83,56.66,471.23,479
2015-03-01T11:00:00Z,2015-03-01T12:00:00+0100,7029.2,7355.77,22.52,207.29,485.85,10433.04,10299.76,57036.39,55424.42,5937.8,21574.72,811.84,20762.88,4897.84,4784.22,98.44,414.97,378
2015-03-01T23:00:00Z,2015-03-02T00:00:00+0100,6258,6435.25,27.77,0,194.18,9698.83,9580.61,49184.7,48235.3,0,13450.38,767,12683.38,4048.84,3937.11,33.49,414,470
2015-03-02T11:00:00Z,2015-03-02T12:00:00+0100,9189.2,8444.39,35.92,189.83,685.86,12097.99,11868.9,69352.13,70784.59,10666.85,24268.25,786.8,23481.45,5532.57,5481.53,168.16,536,573
